Company_Name,Category,Description,Likes,Website
Moonwell,"['DeFi', 'Lending']",Lending made simple.,69,moonwell.fi
Ronin,"['DPoS', 'Gaming', 'Layer 1', 'Sidechain', 'zkVM']",Ethereum-linked sidechain made specifically for Axie Infinity.,7,roninchain.com
Sonic Labs,NA,NA,NA,NA
Lido,"['DeFi', 'PoS', 'Staking']",Develop and maintain decentralized liquid staking protocols.,42,lido.fi
ENS,"['Coinbase', 'ENS', 'Naming Services', 'Non-Fungible Tokens']",Ethereum Name Service.,14,ens.domains
The Open Network,"['Layer 1', 'Social']",The next gen network to unite all blockchains and the existing Internet.,8,ton.org
Surge,"['Swaps', 'Stablecoins']",Next-gen Decentralized Exchange on NEAR.,NA,surgefinance.xyz
Flappy Bird,['Gaming'],"Flappy Bird is back and bigger than ever. Classic fun, reimagined!",1,flappybird.org
Trendies,NA,NA,NA,NA
Shuffle.com,NA,NA,NA,NA
AAVE,"['DeFi', 'Lending']",The Money Market Protocol.,49,aave.com
Rarible,"['Aggregators', 'Coinbase', 'Issuances', 'Marketplaces', 'Non-Fungible Tokens']",NFT Issuance and Marketplace.,27,rarible.com
Karate Combat,['Gaming'],Sports league to form a DAO.,1,karate.com
io.net,NA,NA,NA,NA
Buz,NA,NA,NA,NA
LayerZero,"['Chainlink', 'Loot', 'Multichain']",Omnichain Interoperability Protocol.,102,layerzero.network
Rodeo,NA,NA,NA,NA
superstring,['Computing'],DAO Computing Power For Decentralized Governance.,1,superstring.app
Any Inu,"['IPFS', 'Meme']",The first omnichain dog coin.,NA,anyinu.xyz
Lyvely,"['Content Networks', 'Social']","The Future Of Monetizing Online For Content Creators, Freelancers, And Self-Employed Entrepreneurs.",1,lyvely.com
Anthropic,"['AI', 'Data Analysis']","Working to build reliable, interpretable, and steerable AI systems.",2,anthropic.com
Shardeum,"['EVM', 'Layer 1']",Decentralization for everyone.,13,shardeum.org
Foundation,"['Entertainment', 'Marketplaces', 'Non-Fungible Tokens']","Foundation is for creators, curators and tastemakers.",NA,withfoundation.com
Bitcoin,"['currencies', 'Layer 1', 'PoW']",An innovative payment network and a new kind of money.,82,bitcoin.org
